BEREINIGEN;i_NUMBER;i_TAN;i_START;i_END;i_TIME;i_STATUS;i_ST_TXT;current_Q;FZustimmung;F2;F3;F4;F5;F6;F7A1_1;F7A2_1;F7A3_1;F7A4_1;F7A5_1;F7A6_1;F7A7_1;F7A8_1;F7A9_1;F7A10_1;F7A11_1;F7A12_1;F8A1_1;F8A2_1;F8A3_1;F8A4_1;F8A5_1;F8A6_1;F8A7_1;F8A8_1;F8A9_1;F8A10_1;F8A11_1;F8A12_1;F8A13_1;F8A14_1;F8A15_1;F8A16_1;F8A17_1;F8A18_1;F9A1_1;F9A2_1;F9A3_1;F9A4_1;F9A5_1;F9A6_1;F9A7_1;F9A8_1;F9A9_1;F9A10_1;F9A11_1;F9A12_1;F9A13_1;F9A14_1;F9A15_1;F9A16_1;F9A17_1;F9A18_1;F9A19_1;F9A20_1;F9A21_1;F9A22_1;F9A23_1;F10A1_1;F10A2_1;F10A3_1;F10A4_1;F10A5_1;F10A6_1;F10A7_1;F10A8_1;F10A9_1;F10A10_1;F10A11_1;F10A12_1;F10A13_1;F10A14_1;F10A15_1;F10A16_1;F10A17_1;F11A1_1;F11A2_1;F11A3_1;F11A4_1;F11A5_1;F11A6_1;F11A7_1;F11A8_1;F11A9_1;F11A10_1;F11A11_1;F11A12_1;F11A13_1;F11A14_1;F11A15_1;F11A16_1;F12A1_1;F12A2_1;F12A3_1;F12A4_1;F12A5_1;F12A6_1;F12A7_1;F12A8_1;F12A9_1;F12A10_1;F12A11_1;F12A12_1;F12A13_1;F12A14_1;F12A15_1;F12A16_1;F12A17_1;F13A1_1;F13A2_1;F13A3_1;F13A4_1;F13A5_1;F13A6_1;F13A7_1;F13A8_1;F13A9_1;F13A10_1;F13A11_1;F13A12_1;F13A13_1;F13A14_1;F13A15_1;F13A16_1;F13A17_1;F13A18_1;F13A19_1;F13A20_1;F13A21_1;F13A22_1;F13A23_1;F13A24_1;F13A25_1;F13A26_1;F13A27_1;F13A28_1;F14A1_1;F14A2_1;F14A3_1;F14A4_1;F14A5_1;F14A6_1;F14A7_1;F14A8_1;F14A9_1;F14A10_1;F14A11_1;F14A12_1;F14A13_1;F14A14_1;F14A15_1;F14A16_1;F14A17_1;F14A18_1;F14A19_1;F15A1;F15A2;F15A3;F15A4;F15A5;F15A6;F15A7;F15A8;F15A9;F15A10;F15A11;F15A12;F15A13;F15A14;F15A15;F15A16;F15A17;F15A18;F15A19;F16A1_1;F16A2_1;F16A3_1;F16A4_1;F16A5_1;F16A6_1;F16A7_1;F16A8_1;F16A9_1;F16A10_1;F16A11_1;F16A12_1;F16A13_1;F16A14_1;F16A15_1;F16A16_1;F16A17_1;F16A18_1;F16A19_1;F17A1_1;F17A2_1;F17A3_1;F17A4_1;F17A5_1;F17A6_1;F17A7_1;F17A8_1;F17A9_1;F17A10_1;F17A11_1;F17A12_1;F18A1_1;F18A2_1;F18A3_1;F18A4_1;F18A5_1;F18A6_1;F18A7_1;F18A8_1;F18A9_1;F18A10_1;F18A11_1;F18A12_1;F19A1_1;F19A2_1;F19A3_1;F19A4_1;F19A5_1;F19A6_1;F19A7_1;F19A8_1;F19A9_1;F20A1_1;F20A2_1;F20A3_1;F20A4_1;F20A5_1;F20A6_1;F20A7_1;F20A8_1
0.00;7225;7225;04.05.2023 14:49;04.05.2023 15:21;1908;5;;21;1;7;1;7;16;3;1;2;1;1;1;1;4;1;1;1;1;1;2;4;5;2;4;1;1;1;3;5;5;1;3;3;3;3;5;5;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;6;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;5;1;1;3;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;3;5;5;5;5;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;3;1;5;1;1;5;5;5;1;5;1;1;1;1;1;2;2;2;2;1;1;2;2;4;4;3;5;4;5;5;4;5;7;7;7;7;7;7;1;7
0.00;7226;7226;04.05.2023 14:59;04.05.2023 15:21;1316;5;;21;1;3;2;7;6;4;4;1;4;4;4;1;4;4;1;1;1;1;3;5;4;5;4;1;2;5;1;4;4;3;3;1;1;2;4;3;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;5;2;2;2;3;2;2;2;3;2;2;2;5;1;5;3;1;3;3;2;1;1;1;3;1;3;2;5;1;3;2;2;1;5;2;3;2;2;2;1;1;1;1;1;1;1;1;5;5;1;1;3;3;3;3;1;4;5;5;5;5;1;3;5;5;3;5;5;3;3;4;1;1;3;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;5;5;4;3;5;5;5;5;5;5;5;5;5;4;5;5;3;1;1;1;5;5;1;5;5;1;3;2;1;1;2;2;1;2;2;1;1;1;2;2;2;5;5;5;6;5;2;4;3;5;6;6;7;7;7;7;7;7
0.00;7227;7227;04.05.2023 15:00;04.05.2023 15:18;1095;5;;21;1;4;1;7;1;7;4;4;4;2;1;1;4;3;1;1;1;1;4;4;4;5;4;3;3;3;4;4;3;3;4;4;2;3;4;5;1;3;3;2;2;2;2;2;2;1;2;2;2;3;2;1;1;1;2;1;2;2;2;5;4;1;3;3;3;2;3;3;5;3;2;1;4;3;4;4;1;1;2;1;1;1;3;1;1;1;1;1;1;2;2;3;3;3;4;3;4;5;3;4;4;4;5;4;6;5;5;5;5;2;3;2;3;2;3;2;4;1;1;3;1;2;3;4;4;1;1;2;3;2;3;3;3;3;3;1;1;3;2;1;1;1;1;1;1;1;1;1;2;2;4;4;1;1;3;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;3;3;3;5;5;4;4;2;4;4;4;5;2;2;2;4;2;2;2;2;4;4;3;2;3;4;4;3;1;1;1;1;1;2;1;2;1;2;2;2;5;2;4;2;2;5;2;5;4;4;6;7;5;5;6;7;6
0.00;7228;7228;04.05.2023 15:01;04.05.2023 18:57;14178;5;;21;1;4;1;7;7;7;4;1;3;1;1;1;1;2;1;1;4;1;4;4;4;4;4;3;3;5;5;5;5;4;3;4;5;3;3;3;1;1;4;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;5;1;1;1;1;6;2;2;1;2;3;6;5;1;3;1;3;1;1;1;2;1;1;5;4;1;1;1;1;1;5;5;4;4;6;3;5;3;5;4;3;3;4;5;3;5;4;5;4;4;4;2;4;3;4;3;3;5;2;1;3;4;4;4;5;5;4;2;3;2;2;4;5;3;3;4;1;1;4;3;2;1;1;3;4;3;3;1;1;1;4;1;1;3;3;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;4;5;5;5;5;4;3;4;4;3;3;2;5;4;3;3;4;2;1;1;1;3;1;2;2;3;1;2;1;1;2;1;2;1;2;2;1;1;2;2;1;2;3;4;1;4;4;4;2;4;3;4;7;6;6;6;4;7;7
0.00;7229;7229;04.05.2023 15:18;04.05.2023 15:31;799;5;;21;1;6;1;4;10;6;2;1;2;2;1;1;1;2;1;2;1;2;4;4;4;4;4;4;2;4;4;4;4;2;4;4;4;3;4;4;2;3;3;2;2;2;1;1;2;1;1;1;2;2;1;1;1;2;2;3;1;2;2;2;2;1;2;2;3;2;2;2;2;2;2;1;2;2;2;2;4;2;4;4;4;4;4;4;2;2;4;2;2;3;3;3;4;5;5;4;5;5;4;5;3;5;5;5;5;5;4;5;5;4;4;2;4;4;2;3;3;3;3;3;2;3;4;4;4;3;3;2;3;3;2;4;3;3;3;1;3;3;2;4;4;2;2;3;3;3;3;2;2;3;2;2;3;2;4;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;5;4;1;1;1;2;1;2;2;2;1;1;2;1;1;1;2;1;2;1;1;1;1;1;2;2;5;5;5;5;5;4;6;3;6;5;5;6;5;4;5;5;5
0.00;7230;7230;04.05.2023 15:38;04.05.2023 15:56;1077;5;;21;1;5;1;4;2;7;4;1;4;1;3;1;1;1;1;1;1;1;5;5;3;5;5;1;3;4;4;5;3;3;5;4;3;4;1;2;1;4;4;1;4;3;1;2;1;3;1;1;1;1;1;1;1;3;1;1;1;1;2;2;2;2;2;2;5;2;2;2;2;2;2;1;2;1;2;2;5;2;5;3;3;1;3;3;3;2;3;3;2;3;3;3;6;5;4;4;4;6;4;4;4;4;4;6;4;5;4;4;4;5;5;5;5;5;2;1;5;3;1;2;5;1;1;5;5;1;5;5;5;3;5;5;5;5;4;1;1;5;3;4;2;4;4;4;5;4;3;1;1;1;3;1;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;5;5;5;5;4;5;4;4;5;1;4;4;5;4;5;3;5;5;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;6;3;3;5;4;6;4;5;7;7;7;7;7;7;7;7
0.00;7232;7232;04.05.2023 15:57;04.05.2023 16:14;1020;5;;21;1;7;2;5;10;8;3;1;2;2;1;1;2;3;1;1;1;1;4;5;5;5;4;4;4;4;5;4;2;4;5;4;3;3;3;2;3;3;4;2;4;3;4;4;2;1;2;3;2;3;3;2;1;1;3;4;3;4;2;2;3;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;4;4;5;3;4;4;3;4;1;2;3;4;1;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;3;5;5;5;3;3;5;5;5;5;3;5;5;5;3;5;5;5;5;5;1;2;2;5;3;2;4;4;3;1;4;5;3;1;1;1;3;1;1;5;5;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;5;1;4;5;2;5;2;5;5;5;5;5;5;1;1;1;1;1;3;1;2;3;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;5;2;2;5;3;5;2;7;7;7;7;7;7;7;7
0.00;7233;7233;04.05.2023 16:01;04.05.2023 17:55;6840;5;;21;1;4;1;5;9;8;1;1;2;1;1;1;2;2;2;1;1;1;2;5;2;3;2;1;4;1;2;1;1;4;5;2;1;2;2;2;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;4;2;1;2;2;5;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;5;1;3;1;5;1;1;5;1;1;2;2;1;4;5;5;4;5;1;1;2;5;5;3;4;4;1;5;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;5;5;5;2;4;3;4;5;2;2;4;5;5;2;2;3;2;4;2;2;5;4;5;5;5;5;5;4;5;1;2;2;2;2;2;1;1;2;2;2;2;5;4;3;4;5;3;4;5;3;7;4;6;6;6;5;5;7
0.00;7235;7235;04.05.2023 16:04;04.05.2023 16:17;807;5;;21;1;3;2;8;9;4;3;1;4;1;1;1;1;3;1;1;1;1;4;4;4;4;4;1;4;4;3;4;3;2;4;3;2;1;2;2;3;2;3;2;4;3;2;3;1;1;1;1;1;4;2;2;1;2;1;2;1;2;2;4;2;2;1;1;6;4;2;2;5;2;3;2;5;2;2;2;2;2;4;3;4;2;4;4;2;1;1;3;3;5;5;4;5;4;4;1;1;6;5;4;4;4;5;1;5;5;1;1;5;5;4;5;4;4;4;3;4;2;2;2;2;4;5;5;5;1;2;5;5;2;4;5;4;4;3;1;1;4;5;2;1;3;3;1;1;1;4;1;1;4;5;4;1;4;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;5;4;3;5;5;4;4;4;1;4;4;5;5;5;5;4;3;1;1;1;3;2;2;4;2;2;4;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;3;4;1;5;2;4;5;5;6;7;7;7;6;6;6
0.00;7237;7237;04.05.2023 16:21;04.05.2023 16:47;1531;5;;21;1;4;3;4;2;8;2;1;4;2;1;1;1;3;2;2;1;1;3;3;5;3;5;1;3;3;5;3;5;2;4;5;3;1;3;2;1;1;3;1;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;5;1;1;2;1;1;1;1;1;6;1;1;1;1;3;1;1;1;4;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;5;1;1;6;6;3;2;5;4;1;5;5;5;1;5;4;4;2;5;5;5;2;5;4;5;4;3;5;4;2;4;5;1;5;4;1;5;4;5;4;3;2;1;1;4;5;1;5;1;1;1;4;3;3;5;5;5;5;3;1;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;5;3;4;4;3;3;5;5;5;5;4;5;5;5;5;4;3;3;3;3;3;3;5;3;1;1;3;3;1;1;1;2;2;2;1;2;2;2;2;1;2;2;2;4;2;4;6;2;2;2;5;2;7;5;7;7;7;7;7;7
0.00;7238;7238;04.05.2023 16:25;04.05.2023 16:44;1173;5;;21;1;6;2;7;10;7;4;1;2;3;2;1;1;1;1;1;1;1;4;4;4;4;4;2;3;3;3;4;2;4;4;4;3;3;2;3;2;3;3;3;3;2;2;3;2;3;1;1;1;1;1;1;2;3;1;3;1;1;2;2;2;2;2;2;6;2;2;3;2;2;2;1;5;2;2;2;5;3;5;5;3;3;2;1;1;1;4;2;1;3;3;4;5;4;3;4;4;6;3;3;4;4;4;3;4;4;4;3;4;5;5;2;2;5;5;1;3;1;2;2;2;1;4;5;5;4;3;3;4;2;4;5;3;5;5;3;4;1;3;3;2;3;3;3;3;3;2;2;3;1;1;1;2;1;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5;5;5;5;5;3;5;4;1;5;3;5;5;5;5;5;4;1;1;1;4;1;2;5;4;5;3;3;3;1;1;1;1;2;2;1;1;2;2;2;2;2;4;6;3;3;4;5;4;3;7;7;7;7;6;6;6;6
